NC162	NC163	NC164	NC165	NC134	NC135	NC136	NC137	NC138	NC106	NC107	NC108	NC109	NC110	NC73	NC74	NC88	NC89	NC58	NC59	NC43	NC44	NC4	NC13	NC14	NC23	NC24	NC33	NC34	NC3	AppBBS155	AppBBS156	AppBBS183	AppBBS184	AppBBS100	AppBBS127	AppBBS128	AppBBS70	AppBBS85	AppBBS55	BBS170	BBS171	BBS142	BBS113	BBS114	BBS115	BBS7	BBS8	BBS169	BBS143	BBS144	BBS93	BBS77	BBS78	BBS92	BBS62	BBS63	BBS47	BBS48	BBS17	BBS18	BBS27	BBS28	BBS37	BBS38	AppNPH147	AppNPH148	AppNPH149	AppNPH150	AppNPH151	AppNPH152	AppNPH153	AppNPH174	AppNPH175	AppNPH176	AppNPH177	AppNPH178	AppNPH179	AppNPH180	AppNPH181	AppNPH182	AppNPH96	AppNPH97	AppNPH98	AppNPH99	AppNPH118	AppNPH119	AppNPH120	AppNPH121	AppNPH122	AppNPH123	AppNPH124	AppNPH125	AppNPH126	AppNPH69	AppNPH81	AppNPH82	AppNPH83	AppNPH84	AppNPH67	AppNPH68	AppNPH52	AppNPH53	AppNPH54	NPH158	NPH160	NPH133	NPH103	NPH104	NPH105	NPH129	NPH72	NPH86	NPH157	NPH159	NPH161	NPH131	NPH132	NPH101	NPH102	NPH130	NPH71	NPH87	NPH56	NPH57	NPH41	NPH42	NPH2	NPH1	NPH11	NPH12	NPH21	NPH22	NPH31	NPH32	CKD140	CKD166	CKD167	CKD168	CKD141	CKD112	CKD76	CKD91	CKD45	CKD46	CKD25	CKD139	CKD111	CKD75	CKD90	CKD60	CKD61	CKD5	CKD15	CKD16	CKD26	CKD36	T: Genes	T: Protein.Group	T: Protein.Ids	T: Protein.Names	T: First.Protein.Description
19,7836	19,1226	20,4148	20,8117	20,5666	20,4704	19,3062	19,4935	17,7814	19,6534	18,0679	20,0946	20,2488	19,4941	19,237	22,0051	20,1544	21,6166	20,4757	19,6213	20,6781	19,7201	18,9548	19,305	20,5083	21,2152	18,9038	20,3183	19,6664	19,836	19,0523	18,756	20,2166	19,9067	19,5043	19,8631	20,037	19,7918	20,8333	20,0708	18,8611	21,8869	19,5517	20,5472	20,6046	19,2264	21,7391	21,6247	19,8892	19,2136	20,2128	19,8059	20,7699	20,3749	21,0262	21,7229	21,3384	21,0627	21,4512	19,6908	19,2054	20,9186	21,3533	21,118	19,3741	19,3214	21,1079	19,541	19,7453	19,1578	20,5859	17,5451	21,2759	20,7166	19,7099	21,2432	20,7413	19,2576	19,4784	19,5468	21,1839	21,7613	19,6013	20,5335	18,3367	19,5419	19,7579	20,0281	21,2076	19,1788	18,0079	19,8865	18,9252	20,0634	19,617	22,2655	22,1986	21,0985	21,8729	20,0981	21,2815	18,8681	19,8158	19,7803	21,106	19,9064	17,9038	20,5723	19,5493	19,2486	19,6318	20,7261	21,4662	20,3595	20,4325	20,9548	19,6696	20,1913	21,6758	20,9517	20,8084	22,4021	21,2897	20,9617	21,0577	20,7055	22,2729	20,2962	22,2793	22,1212	20,3805	21,1245	21,5834	20,6688	20,5419	20,3582	20,7235	19,398	19,922	21,0709	21,4764	21,3519	20,6961	20,045	21,5092	20,3205	19,8718	20,6357	20,9088	20,4184	21,3831	20,3539	17,24	20,2722	18,0219	20,0351	20,2285	IGKV3-7	A0A075B6H7	P01624;A0A075B6H7;A0A0C4DH55	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7
12,2716	11,9386	10,7618	12,8601	12,2566	12,9168	13,0637	13,5265	10,7402	11,0423	11,2091	12,4786	12,5299	11,4414	12,7539	12,6656	15,4119	14,127	15,0049	13,1814	14,2531	14,7793	NaN	11,9039	NaN	12,642	NaN	12,1978	12,7122	NaN	11,8919	12,2917	11,5422	12,3225	11,8596	13,2423	11,7109	13,8321	13,4882	13,4118	15,335	12,7667	12,6357	13,7348	13,5896	15,4869	13,9318	14,7019	12,5103	11,7177	11,2154	11,822	13,4595	14,0325	14,1185	15,8292	14,3181	13,3838	14,7131	11,8979	12,2989	13,8483	13,9355	16,4432	12,8025	11,9305	14,177	10,8804	10,1824	13,1965	13,1213	9,86572	13,4545	11,9841	12,8447	13,3832	12,962	11,7912	11,8453	12,6105	13,9203	13,7779	12,8555	12,782	11,9889	11,464	12,8554	14,4135	13,4847	12,3728	11,2518	14,9622	12,6473	13,3275	13,1777	15,6753	14,75	14,0786	13,541	11,2071	13,2748	13,5426	12,3384	13,7933	12,9968	10,9177	10,9521	12,6085	11,7026	11,4076	12,526	15,1247	15,7624	12,9685	15,6286	14,7881	14,383	13,2155	15,2377	14,0991	14,31	15,5758	15,0171	14,7935	14,9691	13,2397	13,9787	NaN	NaN	15,2422	13,5033	15,5642	15,4018	13,722	15,3706	12,2144	12,2177	11,3836	11,5596	12,9186	12,8685	15,8255	16,7619	14,2909	14,3353	13,0264	13,3893	13,4528	13,8991	16,7827	14,0281	15,4901	NaN	15,6796	14,7831	14,8888	14,5127	IGLV4-69	A0A075B6H9	A0A075B6H9	LV469_HUMAN	Immunoglobulin lambda variable 4-69
16,7497	16,1041	16,7581	18,2908	16,549	17,9841	18,1942	18,2448	15,1878	15,5978	14,9058	17,4699	17,4769	16,3252	17,741	17,458	17,6023	19,1924	17,5187	17,2064	18,3536	18,6385	NaN	16,9069	15,4497	17,0251	16,1929	17,0709	14,9549	14,9049	16,9978	15,6463	18,0849	16,2225	16,1612	18,1432	16,7323	17,1099	18,0012	14,895	17,8979	17,687	15,1798	18,9109	17,2763	17,471	19,885	18,7906	15,8843	17,1746	16,0323	17,5533	17,9347	18,1975	18,0403	19,8573	17,355	16,3202	20,4389	16,2632	17,1362	20,1915	18,3013	18,4316	16,9591	17,0915	18,4854	15,6448	15,0382	17,4293	17,715	14,9428	19,1675	17,1966	17,2065	18,2395	16,4708	14,2197	14,1493	15,778	18,6005	19,2391	17,4683	15,9169	15,4801	15,4645	16,0921	16,0187	17,768	17,2647	15,7919	18,1368	17,9316	17,356	16,0121	17,818	17,6502	19,6114	17,4972	15,5964	17,2125	16,4778	17,2938	17,4438	16,8692	16,5511	17,6205	12,4834	16,7095	NaN	15,637	18,4508	19,1735	17,3641	17,8882	NaN	19,0196	17,0816	18,7489	19,7928	19,7341	19,0131	18,1701	18,3473	16,6363	18,2937	17,3707	15,5296	16,7697	19,3626	16,9153	17,8671	18,8212	17,9602	18,692	16,6581	NaN	16,6799	15,2409	18,2063	18,0655	17,0973	18,7718	16,8979	18,1505	NaN	16,5368	16,3013	17,8995	17,8851	NaN	18,4316	16,9417	NaN	17,2939	19,6608	17,9699	IGLV8-61	A0A075B6I0	A0A075B6I0	LV861_HUMAN	Immunoglobulin lambda variable 8-61
16,4831	15,4139	15,3928	16,7766	16,0498	17,6222	16,3726	16,0758	14,0791	14,7708	14,4939	16,5838	16,6929	15,2504	15,0737	15,1845	16,9051	17,6207	16,3905	17,2285	16,7287	16,8992	NaN	15,6755	14,845	15,8994	13,1329	15,5301	15,0336	13,1355	16,0814	14,9096	17,1509	16,4146	16,0234	15,9741	15,945	16,0814	15,9299	14,6645	15,5805	17,6781	16,0053	17,89	16,3867	16,0438	17,1334	17,1199	15,2777	15,7718	15,5291	16,8916	16,3216	17,6223	16,6509	18,4135	16,707	16,0076	18,1091	15,9064	15,018	17,1625	16,9832	17,1658	14,9751	15,3102	17,7393	15,0734	15,668	16,689	16,2352	14,8545	16,9437	15,339	15,7045	16,6351	16,063	15,5324	15,599	15,3469	17,3553	17,3681	16,029	15,6153	15,2951	14,4635	16,0893	17,1763	14,1003	15,6973	14,5763	17,1984	15,9469	16,5466	14,1021	17,2809	15,2591	17,1708	16,7618	15,0966	15,2958	15,7946	15,1873	15,9821	16,4457	14,7288	14,7267	16,3525	15,6181	14,9971	14,8838	16,699	17,3213	16,2392	17,666	17,8035	17,3508	16,6462	17,7997	17,8952	17,8171	17,722	16,9884	16,7779	17,3678	16,0842	17,5729	NaN	15,5721	17,9787	14,0519	16,072	17,117	15,7998	16,801	15,7347	15,3274	15,3883	14,7014	17,3541	17,6824	16,4326	17,5027	15,3699	16,3024	15,3864	17,2356	17,5482	15,5017	16,6824	15,9849	17,0236	15,2096	16,5766	17,8766	16,2873	16,3808	IGLV7-46	A0A075B6I9	A0A075B6I9	LV746_HUMAN	Immunoglobulin lambda variable 7-46
11,9131	11,3993	NaN	13,1811	12,5428	13,6812	12,4098	NaN	9,83303	11,136	NaN	NaN	13,0144	11,8293	NaN	15,3693	13,1614	13,947	12,8781	NaN	10,8538	NaN	NaN	11,5127	NaN	12,5818	NaN	12,4445	NaN	NaN	10,8333	NaN	12,325	10,7787	10,799	11,7007	NaN	NaN	NaN	11,9849	12,6912	11,8723	NaN	13,0859	11,342	NaN	NaN	12,0651	11,2516	11,4984	NaN	10,7386	11,745	NaN	12,7306	12,6665	12,9545	11,8517	13,0346	NaN	NaN	11,6416	11,5917	13,8702	NaN	NaN	12,7138	NaN	NaN	NaN	10,8256	10,6671	12,8024	13,5458	11,7171	NaN	12,2955	12,4393	12,3083	NaN	11,3462	11,2964	NaN	NaN	11,3868	10,5241	10,9479	12,4621	NaN	NaN	NaN	13,2404	11,9277	12,8495	NaN	13,5918	12,6656	12,6508	11,5597	NaN	NaN	NaN	NaN	12,2878	NaN	12,9385	12,4272	NaN	12,847	NaN	NaN	12,7089	13,6904	12,1411	14,6443	11,7455	12,7105	12,5239	13,1481	13,1313	12,533	13,6855	13,2085	13,2066	12,3668	11,8595	14,0818	NaN	12,9265	13,8259	12,3865	12,4072	NaN	NaN	12,3551	NaN	10,7243	11,1476	NaN	NaN	12,8198	11,4725	14,5124	13,0586	13,235	12,3551	11,047	12,1448	12,6718	13,3587	NaN	14,0394	13,2865	NaN	12,6628	12,7762	11,7238	IGLV5-37	A0A075B6J1	A0A075B6J1	LV537_HUMAN	Immunoglobulin lambda variable 5-37
12,4835	11,4773	10,5223	13,4446	12,0364	11,6712	12,0378	13,207	10,4454	10,8361	11,089	12,3372	12,2537	12,537	NaN	NaN	13,0268	12,4992	12,5321	12,2359	12,238	NaN	NaN	12,8231	11,9349	13,5513	NaN	12,1343	NaN	NaN	12,0415	11,375	13,0268	11,9878	12,555	11,6213	10,9888	10,9888	12,6432	13,4304	NaN	12,6616	13,1668	12,8165	11,2268	NaN	13,0109	13,834	11,4961	12,6323	10,2796	12,3204	12,7786	14,0698	13,5768	12,1302	13,3626	13,4268	12,7031	12,5161	13,0716	12,084	13,307	13,7417	13,9205	11,5676	13,4128	10,626	11,1767	10,8954	11,5578	10,6007	12,3205	11,9175	11,7302	11,4174	12,584	11,8136	12,524	12,6731	13,1613	NaN	11,179	12,6927	10,7535	NaN	NaN	11,9805	12,3483	11,4766	NaN	NaN	11,4514	12,9139	NaN	13,147	13,7123	13,3004	13,8328	NaN	12,7586	11,9252	NaN	12,0917	NaN	10,9468	NaN	NaN	11,4894	11,169	NaN	11,5701	13,1337	13,4155	13,1529	13,6797	12,8791	14,1378	15,8024	14,272	12,9265	13,8872	13,2326	12,5598	13,7961	12,3517	13,6193	NaN	13,9155	13,1029	12,3359	NaN	14,1269	10,9392	NaN	NaN	12,0012	10,1506	NaN	12,6192	12,1862	13,0884	NaN	13,1993	11,8722	12,6263	11,7108	12,9496	15,5756	12,8067	12,0275	13,0325	NaN	12,6488	NaN	NaN	NaN	IGLV2-33	A0A075B6J2	A0A075B6J2	LV233_HUMAN	Probable non-functional immunoglobulin lambda variable 2-33
14,064	14,2808	15,7488	17,5081	16,5589	15,7244	15,4288	13,3326	13,8878	12,5113	13,3393	16,7044	16,3712	13,2207	15,5027	15,4311	14,8751	16,9593	14,8851	14,4862	16,5267	15,8098	17,2139	15,7734	15,2882	16,2102	NaN	15,4542	14,4394	NaN	14,2456	14,1149	15,5679	15,5608	15,6177	16,2893	14,3239	13,624	16,6679	13,2843	14,2166	17,2629	14,9618	16,2246	17,2749	15,2796	17,8581	18,1116	15,4422	13,9996	16,2263	14,1142	13,9241	17,5689	15,2655	15,1706	15,8724	16,0583	16,4949	15,0681	14,5743	17,3286	16,8636	16,9767	12,8903	15,4647	17,1028	13,9839	14,8285	14,5913	15,1617	13,3206	15,2504	15,3884	14,5563	15,8565	13,9032	15,7604	15,7111	14,0376	16,4778	15,6735	15,6188	14,9777	14,99	14,0126	15,7711	17,149	16,5334	15,3389	15,013	15,9649	16,0018	15,1714	13,2677	17,358	15,4651	16,8249	16,0828	14,1667	15,6673	15,711	14,0838	14,0661	15,1277	15,5698	14,7175	14,5948	14,675	13,932	12,4466	15,7983	16,6288	16,9792	16,7476	17,0263	16,6258	17,13	15,922	18,0622	16,205	17,1187	16,6809	15,8292	17,52	15,5911	17,1066	16,5773	15,512	17,0081	17,3431	15,9521	16,6874	15,9737	17,6257	13,7731	14,2492	14,3585	13,4916	15,4175	17,6147	15,8164	17,1585	15,0259	16,3745	15,0959	16,7157	15,2033	16,2107	17,485	14,6838	16,6112	14,6383	16,3508	16,9576	16,5348	16,8045	IGLV2-18	A0A075B6J9	A0A075B6J9	LV218_HUMAN	Immunoglobulin lambda variable 2-18
14,9773	13,0867	14,1647	15,2635	14,7574	14,7334	12,8402	13,8462	12,2916	14,1433	13,5731	14,6434	15,8719	14,6977	15,3607	13,6367	16,1967	15,6498	14,2269	15,1487	14,9685	14,5355	13,5801	14,3587	13,2991	14,0456	NaN	13,7556	15,0581	15,4118	15,6418	13,7784	13,7256	14,7454	14,3327	14,123	14,9517	14,8507	15,0265	13,5287	15,0121	15,4152	15,4085	15,9157	14,3696	14,1536	15,7739	16,7637	13,1867	14,6114	13,7982	14,8728	13,5448	14,815	15,5482	15,8608	14,0532	13,9968	14,1303	14,2102	14,1414	14,9629	14,1119	15,013	13,2205	13,8626	14,7385	13,5936	14,5798	14,6286	13,5257	13,769	14,9284	14,4769	14,3505	14,1204	14,6793	13,5255	13,9131	14,6881	14,8271	14,035	13,9701	14,3102	14,0888	13,9057	14,1027	14,8363	14,3102	14,3071	13,0525	13,8713	15,0094	14,8548	13,7642	16,6347	15,0732	15,3611	14,82	13,8647	13,8861	15,0882	13,6888	14,1323	14,7898	13,8884	14,353	14,3396	15,2347	14,6237	13,423	14,518	15,694	16,6697	16,3181	15,948	15,4837	17,1192	17,1071	16,6983	16,9052	15,2897	17,1187	16,6609	15,9406	14,8629	16,3266	16,2506	15,0176	15,5089	14,247	16,7209	16,4073	13,9999	16,9105	14,3283	13,7626	12,996	14,0979	15,3334	15,8737	15,3865	15,6558	15,4089	16,6919	14,6941	16,2774	14,7659	15,5927	16,6355	15,5044	16,5887	16,1639	16,4088	16,8387	15,7254	14,6009	IGLV3-10	A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	Immunoglobulin lambda variable 3-10
16,7633	15,7227	16,2428	16,6277	16,8968	16,6062	15,6124	15,2145	15,1793	15,7872	14,4438	16,4911	16,7729	16,1255	15,433	14,9251	17,0727	16,8943	16,3794	16,3136	15,8759	14,846	NaN	16,3133	15,2125	15,9281	20,6055	15,6232	15,6183	14,4055	16,8005	16,0895	15,8921	15,8076	15,5333	16,0781	15,7022	15,2895	16,6105	16,3723	18,0892	16,6415	16,9272	17,1776	14,8377	18,0807	16,1728	17,1089	15,6502	16,7354	15,2174	15,5029	16,1453	15,734	16,3995	17,1252	15,9466	16,2714	15,5362	15,5173	14,402	16,249	15,5472	17,9269	15,2531	14,4069	16,2399	15,5101	16,2802	16,1441	16,4342	14,8994	16,7325	16,0163	16,4568	15,9079	16,4882	15,2997	14,8077	14,9864	16,9656	15,3076	15,8883	14,831	15,7411	15,1477	15,7371	15,9179	15,4718	16,123	13,6613	16,5083	15,2682	16,3306	14,3428	17,5217	16,3407	16,1889	16,6205	13,5236	14,8237	15,8632	15,2787	15,3253	13,434	15,4908	14,9557	15,1776	16,1227	14,3634	12,8201	15,8075	16,1779	18,0406	16,8547	16,9775	17,0937	18,173	17,7963	17,8822	17,7911	16,2858	16,0607	15,9016	15,7776	16,5538	16,6394	15,0484	15,6486	17,2618	16,0377	17,3469	16,5076	16,7213	16,7442	14,8009	16,3978	15,6437	13,5829	17,3845	17,2214	16,413	16,9226	15,8626	16,9109	15,8668	16,9005	17,1732	16,6905	18,1028	15,737	17,1374	14,7448	17,3574	17,9119	17,1767	15,6192	IGLV3-9	A0A075B6K5	A0A075B6K5	LV39_HUMAN	Immunoglobulin lambda variable 3-9
11,0664	12,7489	11,6451	12,274	12,283	12,0917	NaN	NaN	10,1455	NaN	NaN	11,5421	12,17	NaN	NaN	NaN	11,6528	NaN	11,8783	NaN	12,3108	NaN	NaN	NaN	NaN	11,2421	NaN	11,4487	NaN	NaN	12,5195	NaN	11,5689	NaN	12,0907	11,4595	NaN	NaN	14,4283	11,6657	NaN	14,357	11,289	13,8725	13,0453	12,7101	12,8326	14,2831	NaN	11,7056	NaN	NaN	NaN	NaN	13,1352	12,4062	11,5531	12,9346	15,077	NaN	NaN	NaN	12,6419	14,9072	10,0412	NaN	12,6252	NaN	11,9969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11,4051	11,3728	9,20943	12,4495	NaN	NaN	NaN	9,55343	NaN	11,7916	13,1028	NaN	NaN	NaN	NaN	NaN	11,659	NaN	13,5255	13,0018	13,5521	12,775	NaN	NaN	NaN	NaN	15,0008	NaN	10,2942	NaN	NaN	9,86326	NaN	NaN	NaN	NaN	13,2626	13,1102	13,5048	13,6738	13,6308	NaN	NaN	13,5833	14,0787	12,3971	13,292	13,1761	NaN	NaN	NaN	13,3821	13,783	NaN	NaN	NaN	NaN	13,4917	NaN	12,9442	10,5197	NaN	13,3414	13,9597	12,7842	NaN	NaN	13,0684	NaN	13,0955	13,3013	12,3768	NaN	NaN	12,2382	15,0336	14,2641	NaN	14,2179	12,7729	IGKV2-28;IGKV2D-28	A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	Immunoglobulin kappa variable 2-28
